alpha_pt,omega,alpha,mse_best,source
1.0,0.0,0.13457627118644067,1.2670967636612904,imperfect_pt
1.0,0.0,0.14288135593220339,1.2212881148364862,imperfect_pt
1.0,0.0,0.1511864406779661,1.1757342600787783,imperfect_pt
1.0,0.0,0.1594915254237288,1.1305181611724815,imperfect_pt
1.0,0.0,0.16779661016949152,1.0857178137614423,imperfect_pt
1.0,0.0,0.17610169491525424,1.0414036265762678,imperfect_pt
1.0,0.0,0.18440677966101693,0.9976327691145492,imperfect_pt
1.0,0.0,0.19271186440677965,0.9544467161577784,imperfect_pt
1.0,0.0,0.20101694915254237,0.9118747224031635,imperfect_pt
1.0,0.0,0.20932203389830506,0.8699402316966262,imperfect_pt
1.0,0.0,0.21762711864406778,0.8286626465040628,imperfect_pt
1.0,0.0,0.2259322033898305,0.7880560657357429,imperfect_pt
1.0,0.0,0.23423728813559322,0.7481319639007961,imperfect_pt
1.0,0.0,0.2425423728813559,0.7089054404722012,imperfect_pt
1.0,0.0,0.25084745762711863,0.6703997789302444,imperfect_pt
1.0,0.0,0.2591525423728813,0.6326480651117778,imperfect_pt
1.0,0.0,0.26745762711864407,0.5956911007940833,imperfect_pt
1.0,0.0,0.27576271186440676,0.5595732557246295,imperfect_pt
1.0,0.0,0.28406779661016945,0.5243434252780759,imperfect_pt
1.0,0.0,0.2923728813559322,0.4900619004042219,imperfect_pt
1.0,0.0,0.3006779661016949,0.4568044486269695,imperfect_pt
1.0,0.0,0.3089830508474576,0.424655536432572,imperfect_pt
1.0,0.0,0.31728813559322033,0.3936857360306285,imperfect_pt
1.0,0.0,0.325593220338983,0.36393581293236105,imperfect_pt
1.0,0.0,0.3338983050847457,0.33542309253869584,imperfect_pt
1.0,0.0,0.34220338983050846,0.3081558680503963,imperfect_pt
1.0,0.0,0.35050847457627116,0.28213989439141207,imperfect_pt
1.0,0.0,0.35881355932203385,0.257375683876516,imperfect_pt
1.0,0.0,0.3671186440677966,0.233863476325472,imperfect_pt
1.0,0.0,0.3754237288135593,0.21162159111363935,imperfect_pt
1.0,0.0,0.383728813559322,0.1906751399473349,imperfect_pt
1.0,0.0,0.3920338983050847,0.17103681978810323,imperfect_pt
1.0,0.0,0.4003389830508474,0.15271052524802933,imperfect_pt
1.0,0.0,0.4086440677966101,0.13569834825768756,imperfect_pt
1.0,0.0,0.41694915254237286,0.11999623383354999,imperfect_pt
1.0,0.0,0.42525423728813555,0.10558330895588959,imperfect_pt
1.0,0.0,0.4335593220338983,0.09242483537622784,imperfect_pt
1.0,0.0,0.441864406779661,0.08048541999256943,imperfect_pt
1.0,0.0,0.4501694915254237,0.06972528629958136,imperfect_pt
1.0,0.0,0.45847457627118643,0.060095710802982184,imperfect_pt
1.0,0.0,0.4667796610169491,0.051541594127714134,imperfect_pt
1.0,0.0,0.4750847457627118,0.04399655521322043,imperfect_pt
1.0,0.0,0.48338983050847456,0.03738218047527195,imperfect_pt
1.0,0.0,0.49169491525423725,0.03161843542042776,imperfect_pt
1.0,0.0,0.5,0.026630446403878745,imperfect_pt
1.0,1.0,0.01,0.9199579251316471,oracle_original
1.0,1.0,0.01830508474576271,0.8421893504421961,oracle_original
1.0,1.0,0.02661016949152542,0.7630390726019115,oracle_original
1.0,1.0,0.03491525423728813,0.682366543720553,oracle_original
1.0,1.0,0.043220338983050846,0.6008918246197219,oracle_original
1.0,1.0,0.05152542372881356,0.5198295120122468,oracle_original
1.0,1.0,0.059830508474576265,0.44097852366794815,oracle_original
1.0,1.0,0.06813559322033898,0.3664043553963963,oracle_original
1.0,1.0,0.07644067796610168,0.29786085883141633,oracle_original
1.0,1.0,0.08474576271186439,0.23650269045180788,oracle_original
1.0,1.0,0.09305084745762711,0.18294103522383615,oracle_original
1.0,1.0,0.10135593220338981,0.1374131312399208,oracle_original
1.0,1.0,0.10966101694915252,0.09987306387341825,oracle_original
1.0,1.0,0.11796610169491524,0.07000322495040533,oracle_original
1.0,1.0,0.12627118644067795,0.047231779074464554,oracle_original
1.0,1.0,0.13457627118644067,0.030722608887427186,oracle_original
1.0,1.0,0.14288135593220339,0.019390919037751208,oracle_original
1.0,1.0,0.1511864406779661,0.012015245877886618,oracle_original
1.0,1.0,0.1594915254237288,0.007418878116045022,oracle_original
1.0,1.0,0.16779661016949152,0.004631761089415012,oracle_original
1.0,1.0,0.17610169491525424,0.0029564598790911807,oracle_original
1.0,1.0,0.18440677966101693,0.0019417974369231388,oracle_original
1.0,1.0,0.19271186440677965,0.0013154542471336887,oracle_original
1.0,1.0,0.20101694915254237,0.0009188257642071749,oracle_original
1.0,1.0,0.20932203389830506,0.0006604880159133903,oracle_original
1.0,1.0,0.21762711864406778,0.0004873921541798862,oracle_original
1.0,1.0,0.2259322033898305,0.00036821889546227434,oracle_original
1.0,1.0,0.23423728813559322,0.0002840717903117605,oracle_original
1.0,1.0,0.2425423728813559,0.00022326846653666265,oracle_original
1.0,1.0,0.25084745762711863,0.00017839399361364546,oracle_original
1.0,1.0,0.2591525423728813,0.00014464395520001475,oracle_original
1.0,1.0,0.26745762711864407,0.00011881600709521098,oracle_original
1.0,1.0,0.27576271186440676,9.874506295827315e-05,oracle_original
1.0,1.0,0.28406779661016945,8.292134912105119e-05,oracle_original
1.0,1.0,0.2923728813559322,7.028908503698592e-05,oracle_original
1.0,1.0,0.3006779661016949,6.0087137883727394e-05,oracle_original
1.0,1.0,0.3089830508474576,5.175892900789922e-05,oracle_original
1.0,1.0,0.31728813559322033,4.4895770109179615e-05,oracle_original
1.0,1.0,0.325593220338983,3.918703107438131e-05,oracle_original
1.0,1.0,0.3338983050847457,3.440220474207388e-05,oracle_original
1.0,1.0,0.34220338983050846,3.0361796899302056e-05,oracle_original
1.0,1.0,0.35050847457627116,2.692413003958694e-05,oracle_original
1.0,1.0,0.35881355932203385,2.3982613273800953e-05,oracle_original
1.0,1.0,0.3671186440677966,2.144974559602724e-05,oracle_original
1.0,1.0,0.3754237288135593,1.9256710841562726e-05,oracle_original
1.0,1.0,0.383728813559322,1.734814767314383e-05,oracle_original
1.0,1.0,0.3920338983050847,1.5679182657524428e-05,oracle_original
1.0,1.0,0.4003389830508474,1.4213192350657743e-05,oracle_original
1.0,1.0,0.4086440677966101,1.2920967488311269e-05,oracle_original
1.0,1.0,0.41694915254237286,1.177666518627786e-05,oracle_original
