curve,sigma0_pt,alpha,mse
single_task,,0.31728813559322033,0.15776651672411973
single_task,,0.325593220338983,0.1404878188358651
single_task,,0.3338983050847457,0.12452543442335644
single_task,,0.34220338983050846,0.10984361672252935
single_task,,0.35050847457627116,0.09639102094798904
single_task,,0.35881355932203385,0.08412783584378929
single_task,,0.3671186440677966,0.07304722350121706
single_task,,0.3754237288135593,0.0631297054048114
single_task,,0.383728813559322,0.05432751370756689
single_task,,0.3920338983050847,0.04657180392246744
single_task,,0.4003389830508474,0.03977699682817075
single_task,,0.4086440677966101,0.033860323788451406
single_task,,0.41694915254237286,0.028742999779422122
single_task,,0.42525423728813555,0.024344013420422205
single_task,,0.4335593220338983,0.020581049429410816
single_task,,0.441864406779661,0.01736827856091016
single_task,,0.4501694915254237,0.014627746805258655
single_task,,0.45847457627118643,0.012302882990787632
single_task,,0.4667796610169491,0.010342305168386155
single_task,,0.4750847457627118,0.008697077046681668
single_task,,0.48338983050847456,0.007321443715068775
single_task,,0.49169491525423725,0.006173053023869989
single_task,,0.5,0.005214122466163058
