pt_mode,alpha_pt,sigma0_pt,alpha_ft,alpha_ft_req,seed,inp_dim,rho_pt,rho_ft,omega,emp_omega,c_pt,lambda_pt,gamma_reinit,a_pt,n_train_pt,n_train_ft,pt_param_mse,pt_stop,pt_epoch,ft_param_mse,ft_pred_mse,ft_stop,ft_epoch,wall_s
noisy,1.0,0.01,0.05,0.05,5,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,50,0.0001926311817773,train_pred_mse,34000,0.5346955425521619,0.5357487251394716,train_pred_mse,2000,35.56911087036133
noisy,1.0,0.01,0.1,0.1,5,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,100,0.0001926311817773,train_pred_mse,34000,0.2460593180315353,0.2420953418513144,train_pred_mse,6000,42.19805192947388
noisy,1.0,0.01,0.15,0.15,5,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,150,0.0001926311817773,train_pred_mse,34000,0.0669277771969242,0.0659964336889213,train_pred_mse,8000,42.38640022277832
noisy,1.0,0.01,0.05,0.05,6,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,50,0.0001685761414547,train_pred_mse,30000,0.5799518124502813,0.5672344971850793,train_pred_mse,2000,27.224184036254883
noisy,1.0,0.01,0.1,0.1,6,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,100,0.0001685761414547,train_pred_mse,30000,0.2577104996471702,0.2551327896926209,train_pred_mse,4000,35.67835593223572
noisy,1.0,0.01,0.15,0.15,6,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,150,0.0001685761414547,train_pred_mse,30000,0.0669256419685936,0.0666635971260751,train_pred_mse,6000,42.70476794242859
noisy,1.0,0.01,0.05,0.05,7,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,50,0.0001400914211738,train_pred_mse,34000,0.6229480035238676,0.6169935680507098,train_pred_mse,2000,35.81164193153381
noisy,1.0,0.01,0.1,0.1,7,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,100,0.0001400914211738,train_pred_mse,34000,0.2462497145315209,0.2445195667046298,train_pred_mse,4000,38.176628828048706
noisy,1.0,0.01,0.15,0.15,7,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,150,0.0001400914211738,train_pred_mse,34000,0.0826685053301078,0.0827714796498274,train_pred_mse,8000,39.38902306556702
noisy,1.0,0.01,0.05,0.05,8,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,50,0.0001759881099075,train_pred_mse,32000,0.5210860586635454,0.5195072416130417,train_pred_mse,2000,34.42143678665161
noisy,1.0,0.01,0.1,0.1,8,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,100,0.0001759881099075,train_pred_mse,32000,0.1373378071294437,0.138946019225648,train_pred_mse,4000,33.35313296318054
noisy,1.0,0.01,0.15,0.15,8,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,150,0.0001759881099075,train_pred_mse,32000,0.0316544902849865,0.0318449257429908,train_pred_mse,8000,25.344407081604004
noisy,1.0,0.01,0.05,0.05,9,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,50,0.0001795584034251,train_pred_mse,30000,0.5455154886319115,0.5556430170537706,train_pred_mse,2000,22.492432832717896
noisy,1.0,0.01,0.1,0.1,9,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,100,0.0001795584034251,train_pred_mse,30000,0.1560774342441651,0.158483908320623,train_pred_mse,4000,22.36632823944092
noisy,1.0,0.01,0.15,0.15,9,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,1000,150,0.0001795584034251,train_pred_mse,30000,0.0256550964117395,0.0258492718376925,train_pred_mse,6000,23.43447518348694
noisy,1.0,0.01,0.05,0.05,3,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,50,0.0001794499486024,train_pred_mse,32000,1.4289359221204314,1.4464996550345972,train_pred_mse,2000,24.471985816955566
noisy,1.0,0.01,0.1,0.1,3,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,100,0.0001794499486024,train_pred_mse,32000,1.2365051653124275,1.2447041837868251,train_pred_mse,4000,23.75566792488098
noisy,1.0,0.01,0.15,0.15,3,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,150,0.0001794499486024,train_pred_mse,32000,1.102986034804268,1.1094102321621848,train_pred_mse,6000,24.8346049785614
noisy,1.0,0.01,0.05,0.05,4,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,50,0.0001392575140993,train_pred_mse,32000,1.3770046070498412,1.3690095305150003,train_pred_mse,2000,22.829736948013306
noisy,1.0,0.01,0.1,0.1,4,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,100,0.0001392575140993,train_pred_mse,32000,1.3418353438363475,1.3176170215145495,train_pred_mse,4000,23.870892763137817
noisy,1.0,0.01,0.15,0.15,4,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,150,0.0001392575140993,train_pred_mse,32000,1.1436633245844692,1.118283352983192,train_pred_mse,6000,24.57891011238098
noisy,1.0,0.01,0.05,0.05,5,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,50,0.0001926311817773,train_pred_mse,34000,1.2131392641007146,1.2214972633308248,train_pred_mse,2000,24.324000120162964
noisy,1.0,0.01,0.1,0.1,5,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,100,0.0001926311817773,train_pred_mse,34000,1.2955710573478874,1.291419938647623,train_pred_mse,4000,25.38651418685913
noisy,1.0,0.01,0.15,0.15,5,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,150,0.0001926311817773,train_pred_mse,34000,1.053271465669862,1.0561365939737724,train_pred_mse,6000,25.95406413078308
noisy,1.0,0.01,0.05,0.05,6,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,50,0.0001685761414547,train_pred_mse,30000,1.5340010437815157,1.542294243651949,train_pred_mse,2000,22.47908306121826
noisy,1.0,0.01,0.1,0.1,6,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,100,0.0001685761414547,train_pred_mse,30000,1.3003910840110675,1.3050750514906972,train_pred_mse,4000,21.592549085617065
noisy,1.0,0.01,0.15,0.15,6,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,150,0.0001685761414547,train_pred_mse,30000,1.2177422467458183,1.227712459119933,train_pred_mse,6000,22.903753995895386
noisy,1.0,0.01,0.05,0.05,7,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,50,0.0001400914211738,train_pred_mse,34000,1.5878341607468025,1.5655716986867203,train_pred_mse,2000,25.186588048934937
noisy,1.0,0.01,0.1,0.1,7,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,100,0.0001400914211738,train_pred_mse,34000,1.439872767367915,1.4651109549813783,train_pred_mse,4000,25.22069501876831
noisy,1.0,0.01,0.15,0.15,7,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,150,0.0001400914211738,train_pred_mse,34000,1.0100181045556822,1.0319965785338012,train_pred_mse,6000,28.698827981948853
noisy,1.0,0.01,0.05,0.05,8,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,50,0.0001759881099075,train_pred_mse,32000,1.5463179536882712,1.5351468632516525,train_pred_mse,2000,24.66391110420227
noisy,1.0,0.01,0.1,0.1,8,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,100,0.0001759881099075,train_pred_mse,32000,1.3655053237333592,1.3324416810973676,train_pred_mse,4000,23.138357162475582
noisy,1.0,0.01,0.15,0.15,8,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,150,0.0001759881099075,train_pred_mse,32000,0.9716685933006222,0.9729212441802086,train_pred_mse,6000,24.422847986221313
noisy,1.0,0.01,0.05,0.05,9,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,50,0.0001795584034251,train_pred_mse,30000,1.2037094302717617,1.1889404230229246,train_pred_mse,2000,22.294937133789062
noisy,1.0,0.01,0.1,0.1,9,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,100,0.0001795584034251,train_pred_mse,30000,1.2982074128625578,1.2744938908869616,train_pred_mse,4000,22.97292995452881
noisy,1.0,0.01,0.15,0.15,9,1000,0.1,0.1,0.0,0.0,0.001,0.0,0.0,1.0,1000,150,0.0001795584034251,train_pred_mse,30000,0.92282863287547,0.8978130081624842,train_pred_mse,6000,23.22992706298828
noisy,0.95,0.5,0.05,0.05,0,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,950,50,0.6700007612908149,train_pred_mse_and_grad_norm,52000,1.065656898384814,1.050572275130219,train_pred_mse_and_grad_norm,2000,27.517494916915897
noisy,0.95,0.5,0.05,0.05,1,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,950,50,0.6534913595876465,train_pred_mse_and_grad_norm,42000,1.157669050004254,1.161329828595976,train_pred_mse_and_grad_norm,2000,21.76964020729065
noisy,0.95,0.5,0.05,0.05,2,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,950,50,0.5630769268674771,train_pred_mse_and_grad_norm,42000,0.9723944647074602,0.9676393352931344,train_pred_mse_and_grad_norm,2000,23.071349143981937
noisy,0.95,0.5,0.05,0.05,3,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,950,50,0.5346404496760359,train_pred_mse_and_grad_norm,40000,0.9781953869049904,0.9795917711230716,train_pred_mse_and_grad_norm,2000,22.395278692245483
noisy,0.95,0.5,0.05,0.05,4,1000,0.1,0.1,1.0,1.0,0.001,0.0,0.0,1.0,950,50,0.5968146665884325,train_pred_mse_and_grad_norm,44000,0.9381879962088034,0.9341113125214666,train_pred_mse_and_grad_norm,2000,26.033771991729736
