alpha_pt,alpha,mse_best,mse_fwd,mse_bwd,diff_db,fp_residual,mse_se,mse_rel_se,mse_se_db,rho_pt,rho_ft,omega,c_pt,lambda_pt,gamma_reinit,reliability_score_db,s2_pt,gp_pt,pt_oracle
0.01,0.8160759493670886,0.00010648908702877738,0.00010797283804957103,0.00010648908702877738,0.060094132061422556,9.890659199403642e-07,6.658229365056789e-07,0.0062524992474181735,0.027154259212579468,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.8412658227848101,7.156256433744437e-05,7.298575754214278e-05,7.156256433744437e-05,0.08552225593876983,9.94177093524562e-07,4.3433603932548034e-07,0.006069319110441917,0.02635871798574877,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.8664556962025316,4.715490134798931e-05,4.852961360228555e-05,4.715490134798931e-05,0.12479992822210306,9.931183844102617e-07,2.7806106984752486e-07,0.0058967585955808895,0.02560929719176349,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.8916455696202532,3.01231745430181e-05,3.1463990494973e-05,3.01231745430181e-05,0.18913063963374555,9.894028411630562e-07,1.7275965847491967e-07,0.005735107972375429,0.024907257455219958,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.9168354430379747,1.829839232044035e-05,1.9609150708864657e-05,1.829839232044035e-05,0.3004584966298296,9.93285825679445e-07,1.021818543956805e-07,0.005584198469804232,0.024251865812885604,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.9420253164556962,1.0085705500032915e-05,1.144930385717593e-05,1.0085705500032915e-05,0.5507279869739108,9.98851362777036e-07,5.48907033440329e-08,0.005442425752353543,0.02363615472415297,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.9672151898734177,3.8914124201461186e-06,5.950293662944574e-06,3.8914124201461186e-06,1.8443113916071212,9.945221479953437e-07,2.06740887234568e-08,0.005312746759101034,0.023072966012269634,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,0.9924050632911392,1.0212354267507626e-07,2.5121622655917432e-06,1.0212354267507626e-07,13.909218158124894,9.9859029433512e-07,5.382868390936125e-10,0.005270937777846831,0.022891391913742665,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.0175949367088608,2.7961167293818697e-10,9.448742416941866e-07,2.7961167293818697e-10,35.288187118802085,8.610685108181555e-07,1.5537129417532051e-12,0.005556681255208828,0.02413236006832429,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
0.01,1.0427848101265822,2.235376057210943e-10,4.3577678013120707e-07,2.235376057210943e-10,32.89913490685666,7.102806164666141e-07,1.2452148507201965e-12,0.005570493817822488,0.02419234726556484,0.1,0.1,1.0,0.001,0.0,0.0,29.53191426519366,10.322615421891747,2.64163502797455,False
