label,solver,omega,alpha_pt,sigma0_pt,alpha,mse_best,mse_fwd,mse_bwd,diff_db,fp_residual,reliability_db,s2_pt,gp_pt
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.13894736842105262,0.04102372710691877,0.04117177778295959,0.04102372710691877,0.015645055351139803,9.622107798235024e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.16473684210526315,0.010595740739918738,0.010755683754500058,0.010595740739918738,0.06506701040092366,9.705661497055873e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.19052631578947368,0.002701729093377914,0.002783933954419525,0.002701729093377914,0.1301712845262557,9.867276701493177e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.2,0.0017226579416593077,0.001785754118460509,0.0017226579416593077,0.15622609769508244,9.826606450145936e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.2163157894736842,0.0008617878725891131,0.0009023772274997677,0.0008617878725891131,0.19987748633664637,9.757121563025439e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.24210526315789474,0.0003487631710368664,0.0003715928925275166,0.0003487631710368664,0.27536780915566084,9.991376091968845e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.26789473684210524,0.0001691448883592768,0.00018314871578738008,0.0001691448883592768,0.3454500006838117,9.915816707475877e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.29368421052631577,9.32501558739963e-05,0.0001026255470625843,9.32501558739963e-05,0.41605918778609663,9.794200686279175e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.3,8.183453944121398e-05,9.041049033820598e-05,8.183453944121398e-05,0.43282182050960927,9.691548011801429e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.3194736842105263,5.6318160916339876e-05,6.316696236749659e-05,5.6318160916339876e-05,0.4984152826312851,9.667955625250468e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.3452631578947368,3.6389813844956555e-05,4.1586704025692505e-05,3.6389813844956555e-05,0.5797466758671632,9.499629898180456e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.37105263157894736,2.462699247148642e-05,2.8878838489880522e-05,2.462699247148642e-05,0.6916834425507545,9.776900687997504e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.3968421052631579,2.0226443071834137e-10,2.0809318080789037e-05,2.0226443071834137e-10,50.12338332180869,6.352114988268259e-05,79.70546873852247,0.0,0.0
