rho_pt,rho_ft,omega,c_pt,lambda_pt,gamma_reinit,seed,ft_teacher_norm,alpha,mse_best,active_best,mse_fwd,mse_bwd,diff_db,fp_residual,mse_se,mse_rel_se,mse_se_db,reliability_score_db,rho_pt_emp,rho_ft_emp,experiment
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.3015189873417722,0.1012560541942498,0.9998875,0.1012588378635939,0.1012560541942498,0.0001193919344277,9.823119537788472e-07,0.0012132121088078,0.011981625379954,0.0520355378674598,0.3001481593722098,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.3077215189873418,0.0906876422827428,0.9999,0.0906876834807875,0.0906876422827428,1.972934672522797e-06,9.893163575580566e-07,0.0010836641868896,0.0119494140503843,0.0518956458405909,0.3006384321373112,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.3139240506329114,0.0809139398695341,0.9999,0.0809171049476584,0.0809139398695341,0.0001698779076573,9.6214004968731e-07,0.0009646999940638,0.0119225438239607,0.0517789499299585,0.3006384321373112,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.320126582278481,0.0719220954010292,0.9999,0.0719254907753169,0.0719220954010292,0.0002050214892896,9.643500683553794e-07,0.0008559659847941,0.0119012937543241,0.0516866620501261,0.3006384321373112,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.3263291139240506,0.0636928059614379,0.9999,0.0636965343753767,0.0636928059614379,0.000254217440176,9.915876719723828e-07,0.0007568835042136,0.0118833436961768,0.0516087059380939,0.3006384321373112,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.3325316455696203,0.056199900270491,0.9999,0.0562037834225433,0.056199900270491,0.000300066946913,9.68984966709385e-07,0.0006667614951258,0.0118641045965685,0.0515251515901273,0.3006384321373112,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.3387341772151899,0.0494116810012885,0.9999,0.0494158072747128,0.0494116810012885,0.0003626557370477,9.677917119088608e-07,0.0005849785536643,0.0118388717366069,0.0514155666716875,0.3006384321373112,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.3449367088607595,0.0432946918387965,0.9999,0.0432991254362882,0.0432946918387965,0.0004447169527601,9.79356292146738e-07,0.0005110879255838,0.0118048634573231,0.0512678705913679,0.3006384321373112,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.3511392405063291,0.037815564934297,0.9998875,0.0378202641233047,0.037815564934297,0.0005396468534843,9.967302889574148e-07,0.0004447756096372,0.0117617073924474,0.0510804461830059,0.3006384321373112,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.3573417721518987,0.0329378595328857,0.9999,0.0329427716818044,0.0329378595328857,0.0006476316739245,9.87682059389039e-07,0.0003857284214312,0.0117107919853194,0.0508593233794107,0.3006384321373112,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.3635443037974684,0.0286189568675141,0.9999,0.0286241197809473,0.0286189568675141,0.0007834047196304,9.873602368204448e-07,0.0003335478335911,0.0116547865505815,0.050616094866778,0.3006384321373112,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.369746835443038,0.0248129775280814,0.9999,0.0248184293697245,0.0248129775280814,0.0009541155084455,9.94422769504122e-07,0.0002877340734496,0.0115961122813249,0.0503612757530996,0.3006384321373112,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.3759493670886076,0.0214744792222638,0.9999,0.0214800825683117,0.0214744792222638,0.0011330588329272,9.778144618166618e-07,0.0002477243379196,0.0115357553194035,0.0500991487980303,0.3006384321373112,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.3821518987341772,0.0185587364493944,0.9999,0.0185646829841391,0.0185587364493944,0.0013913304795387,9.96129598883344e-07,0.0002129446616855,0.0114740926606857,0.0498313512738242,0.3006384321373112,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.3883544303797468,0.016022121625973,0.9999,0.0160280299538256,0.016022121625973,0.0016012119046209,9.98957477307827e-07,0.0001828383617371,0.0114116198843967,0.0495600354537094,0.3006384321373112,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.3945569620253165,0.0138223650629664,0.9999,0.0138279612782003,0.0138223650629664,0.0017579578619404,9.771149457327155e-07,0.0001568698017986,0.01134898413434,0.0492880118475145,0.3006384321373112,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.4007594936708861,0.0119200343629684,0.9999,0.0119253888846562,0.0119200343629684,0.0019504281699589,9.97944366393222e-07,0.0001345359342537,0.0112865391287533,0.0490168166340269,0.3006384321373112,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.4069620253164557,0.010279658221559,0.9999,0.010279660971802,0.010279658221559,1.1619211441882271e-06,9.931476816493756e-07,0.0001153806546312,0.0112241722579128,0.0487459607554312,0.2999086566197866,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.4131645569620253,0.0088683394882666,0.9999,0.0088731252427334,0.0088683394882666,0.002343016023321,9.792469249231273e-07,9.89841518082215e-05,0.0111615203656991,0.0484738670447389,0.2999086566197866,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.4193670886075949,0.0076558147911878,0.9999,0.0076602905381552,0.0076558147911878,0.0025382330871401,9.816247630023422e-07,8.496542792932622e-05,0.0110981561397128,0.04819867970778,0.2999086566197866,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.4255696202531646,0.0066148099994459,0.9999,0.0066190109253432,0.0066148099994459,0.0027572369427169,9.772264553328802e-07,7.29856325231805e-05,0.0110336702836957,0.0479186211934895,0.2999086566197866,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.4317721518987342,0.0057209594356255,0.9999,0.0057249851803853,0.0057209594356255,0.003054983866324,9.937900749545925e-07,6.274634522347551e-05,0.0109678011056574,0.047632554987994,0.2999086566197866,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.4379746835443038,0.0049534173244313,0.9999,0.0049571469300483,0.0049534173244313,0.0032687285486403,9.775343767087774e-07,5.399505672603808e-05,0.01090056685911,0.0473405603652893,0.2999086566197866,0.0989125,0.101325,exp1
